"method","population","M","rmse","bias","bias_var","coverage","width","postvar","sd"
"Fusion","RCT",1000,0.667108659567688,-0.0264245143756112,0.0434475058365838,0.96426,2.79056162091998,0.510774779828324,0.208440653032425
"deepAFT-RCT-S","RCT",1000,1.10459677509294,-0.183945343444525,0.0360192877095348,0.377230563897231,0.940853732186077,0.0666782874033381,0.189787480381438
"deepAFT-RCT-T","RCT",1000,1.21245660899023,-0.243800062339683,0.0802678221704726,0.911102177554439,3.63268819637346,1.12405071688301,0.283315764069832
"deepAFT-Pooled-S","RCT",1000,1.10060672851881,0.103814156573585,0.0410384306640138,0.44444,0.992768719086721,0.125826617797267,0.202579442846538
"deepAFT-Pooled-T","RCT",1000,1.33508103245745,0.136484026095736,2.75093743804403,0.99132,4.89861949422164,4.11112701781333,1.65859501929917
"xgbAFT-RCT-S","RCT",1000,1.15474176663318,-0.0392266656892119,0.014871241236473,0.156146666666667,0.395576625968586,0.0219434732131722,0.121947698774815
"xgbAFT-RCT-T","RCT",1000,1.66943354722763,-0.0726087917716035,0.114689420602247,0.93306,4.92196506060172,1.96170346538837,0.338658265220631
"xgbAFT-Pooled-S","RCT",1000,1.10861513267141,0.14802594895491,0.0237505307641602,0.268186666666667,0.637769889204844,0.0342242272946794,0.154112072090931
"xgbAFT-Pooled-T","RCT",1000,1.08093030566694,0.24816863421846,0.0490000514946868,0.912853333333333,3.25523828237691,0.80331627044574,0.221359552526397
"bjelm-RCT-S","RCT",1000,1.26792759904661,-0.0680104715224851,0.0905760050927136,0.449846666666667,1.42302577326089,0.14443519479383,0.300958477356451
"bjelm-RCT-T","RCT",1000,1.65819191738799,0.385380435096579,0.34556767247137,0.95202,5.88396579103617,2.64429375184083,0.587850042503502
"bjelm-Pooled-S","RCT",1000,1.27813949463587,0.307730350978155,0.0347629813504112,0.2978,0.89590229380602,0.0569684395809821,0.186448334265585
"bjelm-Pooled-T","RCT",1000,1.16351830001498,0.46704599681845,0.16833857183719,0.895926666666667,3.32192838619451,0.816353633410228,0.410290838110223
"bjtree-RCT-S","RCT",500,1.20072069745567,-0.0492205501216824,0.0166289464051656,0,0,0,0.128953272177039
"bjtree-RCT-T","RCT",500,1.34706173821344,-0.0587294195897593,0.0946407235990617,0.462947937795808,1.73883652449645,0.660324334805773,0.307637324782058
"bjtree-Pooled-S","RCT",500,1.21593248418929,0.0176877251571697,0.011672208569541,0,0,0,0.108037995953002
"bjtree-Pooled-T","RCT",500,0.989119643830602,0.311109230977892,0.034525251817718,0.479534565366188,1.24070532259207,0.294168012629227,0.185809719384423
"Fusion","RWD",1000,0.677496685392911,-0.0251396823235485,0.044575260246898,0.963871428571429,2.82706910151304,0.523698170201427,0.211128539631424
"deepAFT-RCT-S","RWD",1000,1.11766432958344,-0.185063495140593,0.038246349125477,0.374517374517374,0.948010131910459,0.0676001907641183,0.195566738290224
"deepAFT-RCT-T","RWD",1000,1.26416977255599,-0.248500855235968,0.0937534963805712,0.914368987796124,3.77491799163477,1.18481885085415,0.306191927360228
"deepAFT-Pooled-S","RWD",1000,1.10762350550622,0.105752343815168,0.0421831659012875,0.44356,0.99342696028864,0.125320447302958,0.20538540819953
"deepAFT-Pooled-T","RWD",1000,1.35512944449343,0.137491430452205,2.85856845453448,0.991445714285714,4.92718848219807,4.13139891298285,1.69073015426309
"xgbAFT-RCT-S","RWD",1000,1.16193041433955,-0.0370844268924794,0.0114395491939983,0.158142857142857,0.39677162337211,0.0218850655919146,0.106955828237634
"xgbAFT-RCT-T","RWD",1000,1.55626879883723,-0.0755193974285054,0.134608460676132,0.938882857142857,4.95784918723374,1.88781675085266,0.366890256992649
"xgbAFT-Pooled-S","RWD",1000,1.11402574236422,0.151757478696484,0.0193897884562686,0.269965714285714,0.637805503846667,0.0342166109698492,0.139247220641091
"xgbAFT-Pooled-T","RWD",1000,1.13525275359664,0.330598422798994,0.0471048044293254,0.901151428571429,3.27943440966253,0.814520197178095,0.217036412680742
"bjelm-RCT-S","RWD",1000,1.28549754814164,-0.0676646539440614,0.0937124439847147,0.442582857142857,1.42004035789449,0.14376453755327,0.306124882988487
"bjelm-RCT-T","RWD",1000,1.66181718917217,0.395982929100641,0.366143938109296,0.951645714285714,6.00904806387132,2.68111253598386,0.60509828797419
"bjelm-Pooled-S","RWD",1000,1.28205158549257,0.309472233996278,0.02979085446052,0.300291428571429,0.896130168215595,0.0569973798706915,0.17260027363976
"bjelm-Pooled-T","RWD",1000,1.17819803028297,0.474071739758998,0.166554952496581,0.89598,3.35042814018408,0.82758988461987,0.408111446171975
"bjtree-RCT-S","RWD",500,1.21131493910333,-0.0362147074208059,0.0135085628424002,0,0,0,0.116226343151629
"bjtree-RCT-T","RWD",500,1.35641553434537,-0.0517975163122912,0.109086102200038,0.458591712547088,1.73180911934317,0.644443032942841,0.330281852665323
"bjtree-Pooled-S","RWD",500,1.2240598768436,0.0319683974966638,0.00542717699851331,0,0,0,0.0736693762598361
"bjtree-Pooled-T","RWD",500,1.02211472371949,0.357124098652368,0.03078615075122,0.472883543561162,1.25067013641081,0.29716663268012,0.175459826602046
"Fusion","All",1000,0.675856766855951,-0.0255251319391673,0.043371206257587,0.963988,2.81611685733512,0.519821153089496,0.208257547900639
"deepAFT-RCT-S","All",1000,1.11487169559151,-0.184728049631772,0.0353309131551288,0.375331331331331,0.945863211993145,0.0673236197558843,0.187965191339058
"deepAFT-RCT-T","All",1000,1.24995715074563,-0.247090617367082,0.0867519310478057,0.913388944723618,3.73224905305638,1.16658841066281,0.294536807628191
"deepAFT-Pooled-S","All",1000,1.10691055894865,0.105170887642693,0.0395355307995197,0.443824,0.993229487928064,0.125472298451251,0.198835436478309
"deepAFT-Pooled-T","All",1000,1.35026576953407,0.137189209145265,2.82123123703901,0.991408,4.91861778580514,4.125317344432,1.67965211786221
"xgbAFT-RCT-S","All",1000,1.16087295451303,-0.0377270985314992,0.00994300820961721,0.157544,0.396413124151053,0.0219025878782919,0.0997146338789709
"xgbAFT-RCT-T","All",1000,1.5925186750438,-0.0746462157314349,0.124201594332345,0.937136,4.94708394924413,1.90998276521338,0.352422465703232
"xgbAFT-Pooled-S","All",1000,1.11365517723057,0.150638019774012,0.0184452276147748,0.269432,0.63779481945412,0.0342188958672983,0.135813208543112
"xgbAFT-Pooled-T","All",1000,1.1203008858104,0.305869486224834,0.0456813978375773,0.904662,3.27217557147685,0.811159019158389,0.213732070213099
"bjelm-RCT-S","All",1000,1.28130750901338,-0.0677683992175885,0.0894916791020112,0.444762,1.42093598250441,0.143965734725438,0.299151598862535
"bjelm-RCT-T","All",1000,1.66195293148216,0.392802180899422,0.355105672917577,0.951758,5.97152338202078,2.67006690074095,0.595907436534884
"bjelm-Pooled-S","All",1000,1.28215768600846,0.308949669090841,0.0280540706817852,0.299544,0.896061805892723,0.0569886977837787,0.167493494446158
"bjelm-Pooled-T","All",1000,1.17526570280862,0.471964016876833,0.164955127280735,0.895964,3.34187821398721,0.824219009256978,0.406146681976764
"bjtree-RCT-S","All",500,1.20901667886169,-0.0401164602310688,0.0112601745227489,0,0,0,0.106113969498596
"bjtree-RCT-T","All",500,1.35449140714479,-0.0538770872955316,0.10032312905344,0.459898580121704,1.73391734088916,0.649207423501721,0.316738265849644
"bjtree-Pooled-S","All",500,1.22248987284939,0.0276841957948155,0.00403137579152507,0,0,0,0.0634931160955663
"bjtree-Pooled-T","All",500,1.01343165636522,0.343319638350025,0.0300919170580816,0.474878850102669,1.24768069226519,0.296267046664852,0.173470219513557
