"variant","method","lambda_d","lambda_u","rmse","bias","coverage","postvar"
"k=7 CV","deepAFT-RCT-S",0,0,1.12982821924776,-0.147069000481714,0.45675,0.164742448706175
"k=10 CV","deepAFT-RCT-S",0,0,1.11433860004522,-0.167373329747081,0.37988988988989,0.0684250508002389
"arch-tuned","deepAFT-RCT-S",0,0,1.15013015274753,-0.123827122288767,0.387376128385155,0.543529684789807
"k=7 CV","deepAFT-RCT-T",0,0,1.59317217265339,-0.171163565445576,0.988196,4.4284713969197
"k=10 CV","deepAFT-RCT-T",0,0,1.2381131573791,-0.213564736425963,0.904582,1.15085969046768
"arch-tuned","deepAFT-RCT-T",0,0,1.40861699169005,-0.226531286133462,0.98353953953954,12937358.3548995
"k=7 CV","deepAFT-Pooled-S",0,0,1.08617916391432,-0.139503732927442,0.504492,0.194040543268904
"k=10 CV","deepAFT-Pooled-S",0,0,1.08322961966621,-0.130515045737849,0.41097,0.120595758607515
"arch-tuned","deepAFT-Pooled-S",0,0,1.04111996141019,-0.157594966944843,0.370254256526674,0.0538829955131517
"k=7 CV","deepAFT-Pooled-T",0,0,1.62988565874503,0.0519032549245352,0.99748,5.67819891908056
"k=10 CV","deepAFT-Pooled-T",0,0,1.10644658309118,-0.0149323980401108,0.993052,3.95714619019966
"arch-tuned","deepAFT-Pooled-T",0,0,0.876893066717288,-0.0823081166617088,0.904134275618375,0.59081223317186
"k=7 CV","deepAFT-RCT-S",1,0,1.12839436229548,-0.17424434493537,0.449154,0.166906440179024
"k=10 CV","deepAFT-RCT-S",1,0,1.11336976540558,-0.195445780811116,0.373177177177177,0.0689785407825076
"arch-tuned","deepAFT-RCT-S",1,0,1.15364135078244,-0.139581059312087,0.384465256797583,0.592269915254086
"k=7 CV","deepAFT-RCT-T",1,0,1.59527660171003,-0.244874955402309,0.989272,4.776402006074
"k=10 CV","deepAFT-RCT-T",1,0,1.25193331517246,-0.22978210989297,0.909207207207207,1.17541208081969
"arch-tuned","deepAFT-RCT-T",1,0,1.42818743601054,-0.19234332149512,0.985072144288577,88592018.6206466
"k=7 CV","deepAFT-Pooled-S",1,0,1.08594292116252,-0.129304868983993,0.51175,0.197917451048888
"k=10 CV","deepAFT-Pooled-S",1,0,1.08152840919902,-0.133869036088523,0.418418,0.120883164405372
"arch-tuned","deepAFT-Pooled-S",1,0,1.04035203568076,-0.153283474744451,0.380474501108647,0.0571463378361629
"k=7 CV","deepAFT-Pooled-T",1,0,1.41683640209191,0.0346522585361447,0.997608,6.06482944789215
"k=10 CV","deepAFT-Pooled-T",1,0,1.10464200688204,0.00495484558638662,0.993328,4.18656403363582
"arch-tuned","deepAFT-Pooled-T",1,0,0.906828437296394,-0.108206996199015,0.905823736780259,0.641390598583991
"k=7 CV","deepAFT-RCT-S",2,0,1.13456838139239,-0.176358696699145,0.436654,0.186254028698087
"k=10 CV","deepAFT-RCT-S",2,0,1.12392210676891,-0.200251590052548,0.367917753259779,0.072863091271202
"arch-tuned","deepAFT-RCT-S",2,0,1.16404304915125,-0.165714281818705,0.382082082082082,0.887003772011969
"k=7 CV","deepAFT-RCT-T",2,0,1.60676256331219,-0.275770904328955,0.98926,5.28007203664616
"k=10 CV","deepAFT-RCT-T",2,0,1.26619354560112,-0.275351933410214,0.91956956956957,1.35263366449277
"arch-tuned","deepAFT-RCT-T",2,0,1.42779141920993,-0.286524213992035,0.984865731462926,1721944.46149983
"k=7 CV","deepAFT-Pooled-S",2,0,1.09697631312722,-0.122251573615648,0.51898,0.199668038242648
"k=10 CV","deepAFT-Pooled-S",2,0,1.08894128163108,-0.114696395899446,0.429152,0.130662566561063
"arch-tuned","deepAFT-Pooled-S",2,0,1.0526563905111,-0.145645307698,0.392037280701754,0.0633665669828778
"k=7 CV","deepAFT-Pooled-T",2,0,1.57818279961551,-0.0551196013035167,0.997516,6.85424465501948
"k=10 CV","deepAFT-Pooled-T",2,0,1.21688912502901,-0.0364522645898702,0.992712,4.72200597453209
"arch-tuned","deepAFT-Pooled-T",2,0,1.00163252344251,-0.129790672937332,0.908214876033058,0.788610770815369
"k=7 CV","deepAFT-RCT-S",0,1,1.11535353251961,-0.160203356604543,0.440672,0.125424132319298
"k=10 CV","deepAFT-RCT-S",0,1,1.10979567833958,-0.182106317960325,0.375156,0.0666626086996719
"arch-tuned","deepAFT-RCT-S",0,1,1.13963419644254,-0.150567770680941,0.353304,0.25422942555171
"k=7 CV","deepAFT-RCT-T",0,1,1.47323644750357,-0.237114906790934,0.98751,3.13014724357095
"k=10 CV","deepAFT-RCT-T",0,1,1.2304612141667,-0.232476971503083,0.906144288577154,1.09651602083296
"arch-tuned","deepAFT-RCT-T",0,1,1.38314637940132,-0.260196387292819,0.980374749498998,8860.00956401473
"k=7 CV","deepAFT-Pooled-S",0,1,1.09922070336072,0.0840017483117107,0.538774,0.208345941870871
"k=10 CV","deepAFT-Pooled-S",0,1,1.097554915396,0.104838563673937,0.440768,0.123854045606465
"arch-tuned","deepAFT-Pooled-S",0,1,1.05352931504169,0.109095627921659,0.415352678571429,0.0562563795043117
"k=7 CV","deepAFT-Pooled-T",0,1,1.36706158093795,0.144532391145895,0.996242,5.59739566269355
"k=10 CV","deepAFT-Pooled-T",0,1,1.09086488341341,0.087021448065124,0.990682,3.72436804769378
"arch-tuned","deepAFT-Pooled-T",0,1,0.86624856666496,0.00378714195053063,0.918861111111111,0.614231205150966
"k=7 CV","deepAFT-RCT-S",1,1,1.12143088327822,-0.165885656478572,0.439634,0.128402320165557
"k=10 CV","deepAFT-RCT-S",1,1,1.11487169559151,-0.184728049631772,0.375331331331331,0.0673236197558843
