"method","population","lambda_d","lambda_u","rmse","bias","coverage","width","postvar","bias_var"
"Fusion","RCT",0,0,0.66650999248991,-0.0131719043752284,0.959066666666667,2.67759629985565,0.470215000016935,0.043453195912151
"deepAFT-RCT-S","RCT",0,0,1.10203441325083,-0.17200345562297,0.381788455121788,0.942521688650424,0.0678859757275134,0.0381878198179142
"deepAFT-RCT-T","RCT",0,0,1.20274325545816,-0.219455511236971,0.901326666666667,3.60486617649822,6.11702939614435,0.0753504297138135
"deepAFT-Pooled-S","RCT",0,0,1.08179077056539,-0.134811429057393,0.41038,0.96905388686478,0.120428679943467,0.0440516675601739
"deepAFT-Pooled-T","RCT",0,0,1.25811944376823,0.00496977374307147,0.99294,4.7164410566035,3.93402514313904,1.51994703782259
"Fusion","RCT",0,1,0.666320377318595,-0.0322415171968393,0.9608,2.71637084041462,0.483922640807522,0.0420546377889206
"deepAFT-RCT-S","RCT",0,1,1.09610591746431,-0.182096241096201,0.379973333333333,0.937631740327866,0.0661306980075267,0.0333745656874268
"deepAFT-RCT-T","RCT",0,1,1.1952852832223,-0.235157041427501,0.902391449565798,3.57210542872107,1.05396059518589,0.0684883513543945
"deepAFT-Pooled-S","RCT",0,1,1.0957617867971,0.101106782303673,0.441826666666667,0.976467037549332,0.123910655622988,0.0522574689831452
"deepAFT-Pooled-T","RCT",0,1,1.34773671175354,0.133963146539191,0.990513333333333,4.73599879668568,3.72241332800169,2.61680472179075
"Fusion","RCT",0,2,0.671519643462479,-0.0301740334335407,0.9627,2.79960477417796,0.513934014722676,0.0437741258493578
"deepAFT-RCT-S","RCT",0,2,1.10388971764723,-0.197588240468473,0.372710843373494,0.931781024925334,0.064856966699225,0.033876868460735
"deepAFT-RCT-T","RCT",0,2,1.22210332545738,-0.251618928245322,0.90702,3.60867126032254,12.9909178832202,0.080390608469657
"deepAFT-Pooled-S","RCT",0,2,1.15662758657345,0.348966296397472,0.453006666666667,1.10315960386945,0.146734829022657,0.0336610120468066
"deepAFT-Pooled-T","RCT",0,2,1.28656427298916,0.187583662401602,0.988333333333333,4.83451257246927,3.58266211088672,2.15848340593466
"Fusion","RCT",1,0,0.667286768496433,-0.0319581482523799,0.961833333333333,2.74760285824585,0.495110833681029,0.0412359562048367
"deepAFT-RCT-S","RCT",1,0,1.10279914001208,-0.194408032035148,0.376376376376376,0.932361569064281,0.068428097356418,0.0332689797339775
"deepAFT-RCT-T","RCT",1,0,1.21732189287227,-0.233203397255866,0.905772439105772,3.63130205775599,1.63693666303602,0.0838342465761735
"deepAFT-Pooled-S","RCT",1,0,1.07615917476639,-0.13260197058587,0.420153333333333,0.986270843181666,0.1208133240107,0.0353674632422982
"deepAFT-Pooled-T","RCT",1,0,1.29734451353325,0.0196446174059537,0.992906666666667,4.85449813964535,4.19393203142907,2.3296935835759
"Fusion","RCT",1,1,0.667108659567688,-0.0264245143756112,0.96426,2.79056162091998,0.510774779828324,0.0434475058365838
"deepAFT-RCT-S","RCT",1,1,1.10459677509294,-0.183945343444525,0.377230563897231,0.940853732186077,0.0666782874033381,0.0360192877095348
"deepAFT-RCT-T","RCT",1,1,1.21245660899023,-0.243800062339683,0.911102177554439,3.63268819637346,1.12405071688301,0.0802678221704726
"deepAFT-Pooled-S","RCT",1,1,1.10060672851881,0.103814156573585,0.44444,0.992768719086721,0.125826617797267,0.0410384306640138
"deepAFT-Pooled-T","RCT",1,1,1.33508103245745,0.136484026095736,0.99132,4.89861949422164,4.11112701781333,2.75093743804403
"Fusion","RCT",1,2,0.674603563386424,-0.0296323617243786,0.965346666666667,2.86356349509296,0.537806429209651,0.0432399553505805
"deepAFT-RCT-S","RCT",1,2,1.10606489696437,-0.192169811540447,0.371064397731064,0.921796406476706,0.0638469703987742,0.033593290901533
"deepAFT-RCT-T","RCT",1,2,1.2188858687412,-0.248127617485852,0.910915163660655,3.62614460328006,1.06601813106716,0.0720650872708166
"deepAFT-Pooled-S","RCT",1,2,1.15645860857729,0.340370765113436,0.45262,1.11454665329359,0.145893816545995,0.0464065274444427
"deepAFT-Pooled-T","RCT",1,2,1.27522728995709,0.187895357114288,0.988906666666667,4.9507065365484,4.04720023611505,1.0696396158534
"Fusion","RCT",2,0,0.660271195994681,-0.0377839275812881,0.970346666666667,2.90491872668502,0.553705823456311,0.0447248837162703
"deepAFT-RCT-S","RCT",2,0,1.11351133495578,-0.199084671794089,0.369033767970578,0.93415862737078,0.0723222137032128,0.0370692669355713
"deepAFT-RCT-T","RCT",2,0,1.22938793196089,-0.276639010252463,0.919005672339006,3.73420352393798,17.4963367148899,0.112298171842001
"deepAFT-Pooled-S","RCT",2,0,1.08430388660511,-0.115410804567733,0.430393333333333,1.02784865516129,0.130885132786406,0.0347358021224826
"deepAFT-Pooled-T","RCT",2,0,1.52030949533137,-0.0551754046153,0.992373333333333,5.10742626852737,4.71492418290389,3.09850112913762
"Fusion","RCT",2,1,0.663457731430551,-0.0179402789457072,0.970153333333333,2.93776995910391,0.566424566593417,0.0454098410306074
"deepAFT-RCT-S","RCT",2,1,1.11550371475575,-0.200376478399296,0.36746,0.920268777843858,0.0663645146977069,0.0364923498583214
"deepAFT-RCT-T","RCT",2,1,1.22841170178878,-0.253325666301819,0.919986653319987,3.67797963536151,10.9347931049595,0.106115560319859
