"method","population","lambda_d","lambda_u","rmse","bias","coverage","width","postvar","bias_var"
"bjelm-Pooled-S","RCT",1,1,1.28363535778743,0.259000541386418,0.216,0.692823798697754,0.0587356593083283,0.0461989615425961
"bjelm-Pooled-T","RCT",1,1,1.10794063310713,0.400937562127916,0.776666666666667,2.48806853563866,0.790863115986288,0.100361206674613
"bjelm-RCT-S","RCT",1,1,1.27850190495034,-0.0841318149360091,0.342666666666667,1.1077417574353,0.153604474906795,0.0549762064636381
"bjelm-RCT-T","RCT",1,1,1.59520969633622,0.247503530431072,0.842,4.5586174550074,2.78062073866491,0.160158938398177
"bjelm-Pooled-S","RWD",1,1,1.29567249878699,0.303972767054991,0.238,0.69676093527117,0.059742786966516,0.0305246517690347
"bjelm-Pooled-T","RWD",1,1,1.16115419905675,0.452797432443037,0.761714285714286,2.45006276480093,0.772560063600592,0.0919451380279365
"bjelm-RCT-S","RWD",1,1,1.30040605644985,-0.0457705865578589,0.356,1.10279874676559,0.15260872135731,0.0764722656250528
"bjelm-RCT-T","RWD",1,1,1.58169344432605,0.262622587921422,0.841714285714286,4.59381096951758,2.75941595457531,0.181621495269311
"bjelm-Pooled-S","All",1,1,1.29289731801902,0.290481099354419,0.2314,0.695579794299145,0.0594406486690597,0.0328103643425138
"bjelm-Pooled-T","All",1,1,1.14668887633851,0.437239471348501,0.7662,2.46146449605225,0.7780509793163,0.0931697115275337
"bjelm-RCT-S","All",1,1,1.29457090212213,-0.057278955071304,0.352,1.1042816499665,0.152907447422156,0.0678341611732002
"bjelm-RCT-T","All",1,1,1.58679414718401,0.258086870674317,0.8418,4.58325291516452,2.76577738980219,0.169232118569152
